NCT Number,Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Start Date,Completion Date
NCT04602871,COMPLETED,Covid19,DIAGNOSTIC_TEST: Breath Biopsy,Scentech Medical Technologies Ltd,,ALL,"ADULT, OLDER_ADULT",NA,54,INDUSTRY,INTERVENTIONAL,7/3/2020,1/30/2021
NCT04916639,COMPLETED,SARS-CoV2 Infection (COVID-19)|URTI - Viral Upper Respiratory Tract Infection,DEVICE: Device: Physiomer undiluted seawater nasal spray,Laboratoire de la Mer,EVAMED,ALL,"ADULT, OLDER_ADULT",NA,370,INDUSTRY,INTERVENTIONAL,7/29/2021,3/18/2022
NCT04461379,UNKNOWN,BCG|COVID-19|SARS-CoV2|Corona Virus Infection,BIOLOGICAL: BCG vaccine|OTHER: Placebo,Hospital Universitario Dr. Jose E. Gonzalez,,ALL,"ADULT, OLDER_ADULT",PHASE3,908,OTHER,INTERVENTIONAL,7/21/2020,1/1/2021
NCT04659109,COMPLETED,SARS-CoV Infection|Acute Respiratory Distress Syndrome|COVID-19|ARDS,DRUG: glenzocimab|DRUG: Placebo,Acticor Biotech,,ALL,"ADULT, OLDER_ADULT",PHASE2,60,INDUSTRY,INTERVENTIONAL,12/16/2020,8/6/2021
NCT04365309,UNKNOWN,Novel Coronavirus Pneumonia|Aspirin|Treatment,DRUG: Aspirin 100mg,Xijing Hospital,,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,128,OTHER,INTERVENTIONAL,2/10/2020,2020-06
NCT04880109,TERMINATED,COVID-19,DRUG: APX-115|DRUG: Placebo,"Aptabio Therapeutics, Inc.",Covance,ALL,"ADULT, OLDER_ADULT",PHASE2,16,INDIV,INTERVENTIONAL,10/20/2021,4/28/2022
NCT05133609,UNKNOWN,SARS-CoV-2 Infection,BIOLOGICAL: ChAdOx1 nCoV-19 vaccine (AZD1222),Federal University of Espirito Santo,Centro de Pesquisas René Rachou,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,550,OTHER,INTERVENTIONAL,1/15/2021,12/30/2023
NCT05220306,WITHDRAWN,Sars-CoV-2 Infection,DEVICE: Monitoring of vital signs,"AIDAR Health, Inc.","MAXIS, LLC",ALL,"ADULT, OLDER_ADULT",NA,0,INDUSTRY,INTERVENTIONAL,1/27/2022,7/31/2022
NCT04521309,COMPLETED,COVID-19,BIOLOGICAL: SARS-CoV-2 antibody based IVIG therapy,Dow University of Health Sciences,Higher Education Commission (Pakistan),ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,50,OTHER,INTERVENTIONAL,6/19/2020,2/8/2021
NCT05094609,RECRUITING,COVID-19|SARS-CoV2 Infection,BIOLOGICAL: Ad5-triCoV/Mac|BIOLOGICAL: ChAd-triCoV/Mac,McMaster University,Canadian Institutes of Health Research (CIHR),ALL,"ADULT, OLDER_ADULT",PHASE1,30,OTHER,INTERVENTIONAL,1/3/2022,9/30/2024
NCT04312009,COMPLETED,Corona Virus Infection|Acute Respiratory Distress Syndrome|SARS-CoV Infection,DRUG: Losartan|OTHER: Placebo,University of Minnesota,Bill and Melinda Gates Foundation,ALL,"ADULT, OLDER_ADULT",PHASE2,205,OTHER,INTERVENTIONAL,4/13/2020,2/1/2021
NCT04426006,COMPLETED,Sars-CoV2|Serum; Disease,OTHER: PRO-SERO-COV,Institut Bergonié,,ALL,"ADULT, OLDER_ADULT",NA,526,OTHER,INTERVENTIONAL,6/18/2020,10/4/2021
NCT04637906,UNKNOWN,Covid19,DIETARY_SUPPLEMENT: Bioarginina®,"University of Campania ""Luigi Vanvitelli""",,ALL,"ADULT, OLDER_ADULT",NA,290,OTHER,INTERVENTIONAL,11/18/2020,9/18/2021
NCT04708327,UNKNOWN,COVID-19,DRUG: STAT-205,"Cytocom, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE1,24,INDUSTRY,INTERVENTIONAL,12/5/2021,9/30/2022
NCT05209009,ACTIVE_NOT_RECRUITING,Severe Acute Respiratory Syndrome Coronavirus 2,BIOLOGICAL: COVAC-2|BIOLOGICAL: Saline Placebo,University of Saskatchewan,Government of Canada|Government of Saskatchewan|Vaccine Formulation Institute (VFI)|Seppic,ALL,"ADULT, OLDER_ADULT",PHASE2,150,OTHER,INTERVENTIONAL,8/24/2022,2024-08
NCT04878809,COMPLETED,SARS-CoV-2 (COVID-19),OTHER: Escola L'Horitzó|OTHER: Escola John Talabot,"Fundación FLS de Lucha Contra el Sida, las Enfermedades Infecciosas y la Promoción de la Salud y la Ciencia",Escola L'Horitzó|Escola John Talabot,ALL,"CHILD, ADULT, OLDER_ADULT",NA,153,OTHER,INTERVENTIONAL,4/22/2021,6/17/2021
NCT05911906,NOT_YET_RECRUITING,SARS-CoV-2 Infection|COVID-19,DRUG: Remdesivir,University of Derby,University of Exeter|Peninsula Clinical Trials Unit|University Hospitals of Derby and Burton NHS Foundation Trust,ALL,"ADULT, OLDER_ADULT",PHASE4,72,OTHER,INTERVENTIONAL,4/1/2024,12/1/2025
NCT05770206,NOT_YET_RECRUITING,Covid19|Hydrogen-oxygen Gas|AMS-H-03,"DEVICE: Hydrogen-Oxygen Generator with Nebulizer, AMS-H-03|DEVICE: OLO-1 Medical Molecular Sieve Oxygen Generator",Guangzhou Institute of Respiratory Disease,,ALL,"ADULT, OLDER_ADULT",NA,218,OTHER,INTERVENTIONAL,4/1/2023,12/31/2024
NCT04993209,COMPLETED,Coronavirus Infections|Healthy,BIOLOGICAL: NDV-HXP-S 1μg|BIOLOGICAL: NDV-HXP-S 3μg|BIOLOGICAL: NDV-HXP-S 10μg|OTHER: Adsorbed inactivated COVID-19 vaccine (CoronaVac),Butantan Institute,,ALL,"ADULT, OLDER_ADULT",PHASE1,320,OTHER_GOV,INTERVENTIONAL,7/9/2021,11/4/2022
NCT04894227,COMPLETED,COVID-19,BIOLOGICAL: Inactivated SARS-CoV-2 Vaccine (Vero cell）,"Sinovac Research and Development Co., Ltd.",,ALL,ADULT,PHASE4,1080,INDUSTRY,INTERVENTIONAL,5/11/2021,11/30/2021
NCT04399109,UNKNOWN,COVID,DEVICE: TCC-COVID mHealth solution,Dr Sze-Yuan Ooi,The University of New South Wales|The George Institute|South Eastern Sydney Local Health District,ALL,"ADULT, OLDER_ADULT",NA,2000,OTHER_GOV,INTERVENTIONAL,5/20/2020,5/19/2021
NCT05911009,RECRUITING,Long Covid,DRUG: BC 007 or matching placebo,Berlin Cures GmbH,,ALL,"ADULT, OLDER_ADULT",PHASE2,114,INDUSTRY,INTERVENTIONAL,6/16/2023,5/31/2025
NCT04358809,UNKNOWN,COVID-19,DRUG: Suspension of heat killed (autoclaved) Mycobacterium w|OTHER: Placebo,Cadila Pharnmaceuticals,"Council of Scientific and Industrial Research, India",ALL,"ADULT, OLDER_ADULT",PHASE3,480,INDUSTRY,INTERVENTIONAL,6/30/2020,4/30/2021
NCT04701606,UNKNOWN,Covid19,DRUG: Artecom® (pyronaridine-artesunate)|DRUG: Placebo,Shin Poong Pharmaceutical Co. Ltd.,,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,402,INDUSTRY,INTERVENTIONAL,3/29/2021,4/15/2022
NCT05059106,UNKNOWN,SARS-CoV-2,BIOLOGICAL: Half dose of ChAdOx1 nCoV-19 (AZD1222)|BIOLOGICAL: Standard dose of ChAdOx1 nCoV-19 (AZD1222),Federal University of Espirito Santo,Centro de Pesquisas René Rachou|Escola Nacional de Saúde Pública Sérgio Arouca/Fiocruz|Oswaldo Cruz Foundation|Escola Superior de Ciências da Santa Casa de Misericórdia de Vitória,ALL,ADULT,PHASE2|PHASE3,29637,OTHER,INTERVENTIONAL,6/1/2021,10/30/2022
NCT04353206,TERMINATED,Covid-19|Sars-CoV2,BIOLOGICAL: Multiple Doses of Anti-SARS-CoV-2 convalescent plasma,Noah Merin,Johns Hopkins University,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,6,OTHER,INTERVENTIONAL,6/27/2020,11/1/2020
NCT04393727,TERMINATED,COVID|SARS-CoV 2,BIOLOGICAL: CONVALESCENT PLASMA,"Azienda Ospedaliero, Universitaria Pisana",,ALL,"ADULT, OLDER_ADULT",PHASE2,1,OTHER,INTERVENTIONAL,5/1/2020,9/30/2020
NCT04388709,WITHDRAWN,SARS-CoV-2,DRUG: Peginterferon Lambda-1A,Icahn School of Medicine at Mount Sinai,Eiger BioPharmaceuticals,ALL,"ADULT, OLDER_ADULT",PHASE2,0,OTHER,INTERVENTIONAL,2020-09,2/5/2021
NCT05549206,NOT_YET_RECRUITING,SARS-CoV-2,BIOLOGICAL: SARS-CoV-2 Variant (Omicron BA.5) mRNA Vaccine low dose|BIOLOGICAL: SARS-CoV-2 Variant (Omicron BA.5) mRNA Vaccine high dose|DRUG: Placebo,"AIM Vaccine Co., Ltd.","Ningbo Rongan Biological Pharmaceutical Co., Ltd.|First Affiliated Hospital Bengbu Medical College",ALL,"ADULT, OLDER_ADULT",NA,350,INDUSTRY,INTERVENTIONAL,2023-04,2024-04
NCT04365127,COMPLETED,COVID-19|Sars-CoV2,DRUG: Progesterone 100 MG,Sara Ghandehari,IBSA Institut Biochimique SA,MALE,"ADULT, OLDER_ADULT",PHASE1,40,OTHER,INTERVENTIONAL,4/27/2020,8/20/2020
NCT04470609,COMPLETED,COVID-19,BIOLOGICAL: Low dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 28-day schedule|BIOLOGICAL: Medium dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 28-day schedule|BIOLOGICAL: High dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 28-day schedule|BIOLOGICAL: Placebo on a 0- and 28-day schedule,"Institute of Medical Biology, Chinese Academy of Medical Sciences",West China Second University Hospital|Yunnan Center for Disease Control and Prevention,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,471,OTHER,INTERVENTIONAL,7/10/2020,10/27/2021
NCT05007509,COMPLETED,Covid19|SARS CoV 2 Infection,BIOLOGICAL: COVID-19 vaccine HIPRA 10|BIOLOGICAL: COVID-19 vaccine HIPRA 20|BIOLOGICAL: COVID-19 vaccine HIPRA 40|BIOLOGICAL: Commercial COVID-19 vaccine,"Laboratorios Hipra, S.A.",,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,30,INDUSTRY,INTERVENTIONAL,8/16/2021,9/30/2022
NCT04454606,COMPLETED,COVID|Personal Protective Equipment,DEVICE: Fit test|DEVICE: Filtration Test,Bangkok Metropolitan Administration Medical College and Vajira Hospital,,ALL,ADULT,NA,43,OTHER_GOV,INTERVENTIONAL,5/1/2020,5/31/2020
NCT04345406,NOT_YET_RECRUITING,COVID,DRUG: ACEIs|DRUG: Conventional treatment,Tanta University,,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,60,OTHER,INTERVENTIONAL,4/15/2020,12/1/2029
NCT06253806,RECRUITING,COVID-19-Induced Parosmia,DRUG: Stellate Ganglion Block|DRUG: Placebo Sham Injection,Washington University School of Medicine,,ALL,"ADULT, OLDER_ADULT",PHASE2,140,OTHER,INTERVENTIONAL,10/25/2023,2025-08
NCT04363827,UNKNOWN,COVID19|Hydroxychloroquine|Prophylaxis|Treatment|SARS-CoV-2,DRUG: Hydroxychloroquine,Istituto Scientifico Romagnolo per lo Studio e la cura dei Tumori,University of Bologna,ALL,"ADULT, OLDER_ADULT",PHASE2,2300,OTHER,INTERVENTIONAL,5/14/2020,2021-09
NCT05817006,ENROLLING_BY_INVITATION,Long COVID,OTHER: Device,Samara State Medical University,,ALL,"CHILD, ADULT",NA,30,OTHER,INTERVENTIONAL,4/16/2023,12/31/2025
NCT04756609,COMPLETED,SARS-CoV Infection|Nurse's Role,PROCEDURE: Systematic offer of nurse-driven SARS-CoV-2 screening combined with usual practice|OTHER: Usual emergency department practice with physician-directed diagnostic testing,Assistance Publique - Hôpitaux de Paris,,ALL,"ADULT, OLDER_ADULT",NA,138352,OTHER,INTERVENTIONAL,3/12/2021,6/15/2021
NCT04590209,NOT_YET_RECRUITING,Adult Patients With Lesions on Fingers or Toes,OTHER: Blood sampling|OTHER: Skin biopsy,Assistance Publique - Hôpitaux de Paris,Institut Cochin,ALL,"ADULT, OLDER_ADULT",NA,25,OTHER,INTERVENTIONAL,2023-01,2023-03
NCT04418206,COMPLETED,Covid 19,OTHER: patients COVID 19,Centre Hospitalier Universitaire de Nice,,ALL,"ADULT, OLDER_ADULT",NA,950,OTHER,INTERVENTIONAL,6/1/2020,7/19/2022
NCT04457609,UNKNOWN,COVID|Pulmonary Infection|Sars-CoV2,DRUG: Oseltamivir|DRUG: Azithromycin|BIOLOGICAL: Umbilical Cord Mesenchymal Stem Cells,Indonesia University,,ALL,"ADULT, OLDER_ADULT",PHASE1,40,OTHER,INTERVENTIONAL,2020-07,2020-09
NCT04409509,COMPLETED,Coronavirus Disease 2019 (COVID-19),"BIOLOGICAL: Garadacimab, Factor XIIa Antagonist Monoclonal Antibody|DRUG: Placebo",CSL Behring,,ALL,"ADULT, OLDER_ADULT",PHASE2,124,INDUSTRY,INTERVENTIONAL,7/1/2020,1/12/2021
NCT04391309,TERMINATED,Coronavirus Disease 2019 (COVID-19)|Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2),BIOLOGICAL: anti-CD14|OTHER: Placebo|DRUG: remdesivir,National Institute of Allergy and Infectious Diseases (NIAID),University of Washington|Implicit Bioscience|Vanderbilt University Medical Center|PPD,ALL,"ADULT, OLDER_ADULT",PHASE2,49,NIH,INTERVENTIONAL,4/12/2021,2/4/2022
NCT05616806,NOT_YET_RECRUITING,Long COVID|Distress Tolerance,BEHAVIORAL: iENDURE,Rhode Island Hospital,Brown University,ALL,"ADULT, OLDER_ADULT",NA,10,OTHER,INTERVENTIONAL,7/1/2023,1/1/2025
NCT04470427,COMPLETED,SARS-CoV-2,BIOLOGICAL: mRNA-1273|BIOLOGICAL: Placebo,"ModernaTX, Inc.",Biomedical Advanced Research and Development Authority|National Institute of Allergy and Infectious Diseases (NIAID),ALL,"ADULT, OLDER_ADULT",PHASE3,30000,INDUSTRY,INTERVENTIONAL,7/27/2020,12/29/2022
NCT05783206,COMPLETED,COVID-19,DRUG: MIR 19 ®|COMBINATION_PRODUCT: Standard therapy,National Research Center - Institute of Immunology Federal Medical-Biological Agency of Russia,,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,984,OTHER,INTERVENTIONAL,2/10/2022,7/28/2023
NCT05142306,COMPLETED,SARS-CoV-2 Infection,BIOLOGICAL: COVID-HIG,Emergent BioSolutions,United States Department of Defense,ALL,ADULT,PHASE1,23,INDUSTRY,INTERVENTIONAL,12/7/2021,5/31/2022
NCT04619706,TERMINATED,COVID-19,DRUG: FSD201|DRUG: Placebo|OTHER: Standard of Care for Covid-19,"FSD Pharma, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE2,53,INDUSTRY,INTERVENTIONAL,12/14/2020,8/24/2021
NCT04335071,TERMINATED,SARS-CoV-2 Infection,DRUG: Tocilizumab (TCZ)|DRUG: Placebo,"Insel Gruppe AG, University Hospital Bern",Roche Pharma AG,ALL,"ADULT, OLDER_ADULT",PHASE2,5,OTHER,INTERVENTIONAL,4/26/2020,9/27/2020
NCT04528771,ACTIVE_NOT_RECRUITING,SARS-CoV2 Infection|Covid19,DRUG: SNO|DRUG: Nitrogen gas,James Reynolds,Case Western Reserve University,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,24,OTHER,INTERVENTIONAL,8/5/2021,4/30/2025
NCT04350671,UNKNOWN,COVID-19,DRUG: Interferon Beta-1A|DRUG: Lopinavir / Ritonavir|DRUG: Single Dose of Hydroxychloroquine,Shahid Beheshti University of Medical Sciences,,ALL,"ADULT, OLDER_ADULT",PHASE4,40,OTHER,INTERVENTIONAL,4/15/2020,4/24/2020
NCT05557539,RECRUITING,SARS-CoV-2 Infection|Influenza Viral Infections,"BIOLOGICAL: blood samples, urine samples and nasopharyngeal swabs",Cliniques universitaires Saint-Luc- Université Catholique de Louvain,,ALL,"ADULT, OLDER_ADULT",NA,275,OTHER,INTERVENTIONAL,2/7/2022,9/30/2024
NCT04981379,COMPLETED,Covid19,DRUG: Hydroxychloroquine|DRUG: Favipiravir|DRUG: Favipiravir + Hydroxychloroquine|DRUG: Placebo,Health Institutes of Turkey,,ALL,ADULT,PHASE3,1120,OTHER_GOV,INTERVENTIONAL,11/16/2020,2/16/2021
NCT04345991,COMPLETED,Covid19,DRUG: Transfusion of COVID-19 convalescent plasma,Assistance Publique - Hôpitaux de Paris,Etablissement Français du Sang,ALL,"ADULT, OLDER_ADULT",PHASE2,120,OTHER,INTERVENTIONAL,4/15/2020,5/28/2021
NCT05518591,RECRUITING,Psychological Distress|Cancer Recurrence,BEHAVIORAL: Compassion Focused Therapy (CFT) combined with Breathing Pattern Retraining (BPR),University College Dublin,Mater Misericordiae University Hospital|Irish Cancer Society,ALL,"ADULT, OLDER_ADULT",NA,160,OTHER,INTERVENTIONAL,3/25/2022,2023-06
NCT04613271,COMPLETED,Infectious Disease|SARS-CoV Infection|Covid19,DRUG: Favipiravir|DRUG: Azithromycin,Ina-Respond,"Center for Research and Development of Health Resources and Services, National Institute of Health Research and Development (NIHRD), Indonesia",ALL,ADULT,PHASE3,130,OTHER,INTERVENTIONAL,10/15/2020,11/8/2021
NCT04385771,SUSPENDED,Coronavirus Infection|COVID|SARS-CoV 2|Respiratory Failure|Cytokine Storm|Extracorporeal Membrane Oxygenation,DEVICE: vv-ECMO + cytokine adsorption (Cytosorb adsorber)|DEVICE: vv-ECMO only (no cytokine adsorption),Dr. Alexander Supady,"Klinikum Ibbenbüren|Ludwig-Maximilians - University of Munich|University Hospital, Saarland|Klinikum Ludwigsburg|University of Ulm|SLK Kliniken Heilbronn GmbH|Martin-Luther-Universität Halle-Wittenberg",ALL,"ADULT, OLDER_ADULT",NA,80,OTHER,INTERVENTIONAL,9/1/2020,10/31/2021
NCT04405739,COMPLETED,SARS-CoV 2,DRUG: EIDD-2801|DRUG: Placebo,"Ridgeback Biotherapeutics, LP",Merck Sharp & Dohme LLC,ALL,"ADULT, OLDER_ADULT",PHASE2,71,INDUSTRY,INTERVENTIONAL,6/16/2020,2/21/2022
NCT05060939,RECRUITING,COVID-19,DIAGNOSTIC_TEST: COVID-19 vaccinated people,Hospices Civils de Lyon,,ALL,"ADULT, OLDER_ADULT",NA,5000,OTHER,INTERVENTIONAL,8/20/2021,2/20/2024
NCT04525079,COMPLETED,SARS-CoV-2 Infection,DRUG: CT-P59|DRUG: Placebo,Celltrion,,ALL,ADULT,PHASE1,32,INDUSTRY,INTERVENTIONAL,7/18/2020,11/5/2020
NCT04678739,COMPLETED,Covid19|Covid-19 ARDS,DRUG: Remdesivir|DRUG: Tocilizumab,M Abdur Rahim Medical College and Hospital,First Affiliated Hospital Xi'an Jiaotong University|Cox's Bazar 250 Bed District Sadar Hospital|Chattogram General Hospital,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,205,OTHER_GOV,INTERVENTIONAL,8/15/2020,2/10/2021
NCT04913779,UNKNOWN,COVID-19 Pneumonia|COVID-19 Respiratory Infection|Covid19,DRUG: Anti-SARS-CoV-2|DRUG: Placebo,Administracion Nacional de Laboratorios e Institutos de Salud Dr. Carlos G. Malbran,,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,200,OTHER_GOV,INTERVENTIONAL,6/1/2021,12/31/2021
NCT05139979,ACTIVE_NOT_RECRUITING,COVID-19|Stress|Shortness of Breath,BEHAVIORAL: Breathing and Wellness Webinar|OTHER: Routine Daily Activity,Beth Israel Deaconess Medical Center,,ALL,"ADULT, OLDER_ADULT",NA,189,OTHER,INTERVENTIONAL,9/15/2021,3/31/2024
NCT04382391,ACTIVE_NOT_RECRUITING,"COVID|Corona Virus Infection|Respiratory Failure|Respiratory Distress Syndrome, Adult|ARDS, Human|SARS (Severe Acute Respiratory Syndrome)",DEVICE: gammaCore® Sapphire (non-invasive vagus nerve stimulator)|OTHER: Standard of care therapies,Allegheny Singer Research Institute (also known as Allegheny Health Network Research Institute),ElectroCore INC,ALL,"ADULT, OLDER_ADULT",NA,21,OTHER,INTERVENTIONAL,5/8/2020,12/1/2023
NCT05210179,COMPLETED,COVID-19|Sars-CoV-2 Infection,BIOLOGICAL: TURKOVAC-Dollvet|BIOLOGICAL: TURKOVAC-Koçak,Health Institutes of Turkey,,ALL,ADULT,PHASE2,65,OTHER_GOV,INTERVENTIONAL,1/24/2022,5/2/2023
NCT05765279,COMPLETED,SARS-CoV-2 Infection,DRUG: HH-120 nasal spray 1|DRUG: HH-120 nasal spray 2|DRUG: Placebo Comparator 1|DRUG: Placebo Comparator 2,Beijing Ditan Hospital,,ALL,"ADULT, OLDER_ADULT",NA,281,OTHER,INTERVENTIONAL,10/20/2022,12/6/2022
NCT04929691,UNKNOWN,SARS-CoV-2 Acute Respiratory Disease|COVID-19 Respiratory Infection,DEVICE: CPAP helmet|OTHER: Standard of care non-helmet based CPAP ventilation,New York University,Aliko Dangote Foundation|Nigerian Institute of Medical Research|CDC Foundation,ALL,"ADULT, OLDER_ADULT",NA,370,OTHER,INTERVENTIONAL,11/13/2020,2021-12
NCT04492891,COMPLETED,SARS (Disease),DRUG: Cyclosporine|OTHER: Standard of Care Treatment,"Bryan Burt, MD",Brigham and Women's Hospital,ALL,"ADULT, OLDER_ADULT",PHASE2,47,OTHER,INTERVENTIONAL,11/23/2020,12/10/2021
NCT04351191,TERMINATED,Sars-CoV2|Symptomatic Condition|Covid-19,DRUG: Hydroxychloroquine Sulfate Regular dose|DRUG: Hydroxychloroquine Sulfate Loading Dose|DRUG: Chloroquine|DRUG: Placebo,"Government of Punjab, Specialized Healthcare and Medical Education Department","Mayo Hospital Lahore|Services Hospital, Lahore|Pakistan Kidney and Liver Institute",ALL,ADULT,PHASE4,137,OTHER_GOV,INTERVENTIONAL,4/15/2020,8/30/2020
NCT04391179,COMPLETED,COVID|Corona Virus Infection|Covid-19|SARS-CoV-2 Infection,DRUG: Dipyridamole 100 Milligram(mg)|DRUG: Placebo oral tablet,University of Michigan,,ALL,"ADULT, OLDER_ADULT",PHASE2,99,OTHER,INTERVENTIONAL,5/31/2020,2/22/2021
NCT04390191,TERMINATED,COVID-19|COVID|Coronavirus,DEVICE: Continuous Positive Airway Pressure,Icahn School of Medicine at Mount Sinai,"Itamar Medical LTD|Community Surgical Supply of Toms River, Inc|Philips Healthcare",ALL,"ADULT, OLDER_ADULT",NA,4,OTHER,INTERVENTIONAL,5/7/2020,7/7/2021
NCT06113679,RECRUITING,Post COVID-19 Condition (PCC),DEVICE: RDX-19,EmitBio Inc.,NAMSA,ALL,"ADULT, OLDER_ADULT",NA,60,INDUSTRY,INTERVENTIONAL,10/30/2023,3/30/2024
NCT05566379,RECRUITING,Long COVID|Dysautonomia,OTHER: Mindfulness - Mindful Awareness Practices ( MAPs),"University of California, Los Angeles",,FEMALE,ADULT,NA,30,OTHER,INTERVENTIONAL,2/28/2023,2023-06
NCT05931679,NOT_YET_RECRUITING,COVID 19,DEVICE: VR Headset|OTHER: Traditional Theatre-based simulation,Ottawa Hospital Research Institute,Sunnybrook Research Institute,ALL,"CHILD, ADULT, OLDER_ADULT",NA,45,OTHER,INTERVENTIONAL,2023-07,2025-12
NCT05385991,COMPLETED,SARS-CoV-2 Infection,BIOLOGICAL: ACM-SARS-CoV-2-beta ACM-CpG vaccine candidate (ACM-001),ACM Biolabs,,ALL,ADULT,PHASE1,38,INDUSTRY,INTERVENTIONAL,7/1/2022,8/22/2023
NCT04344379,COMPLETED,SARS-CoV-2 Infection,DRUG: hydroxychloroquine|DRUG: azithromycin|DRUG: hydroxychloroquine placebo,Assistance Publique - Hôpitaux de Paris,,ALL,"ADULT, OLDER_ADULT",PHASE3,122,OTHER,INTERVENTIONAL,4/17/2020,6/18/2020
NCT04834908,TERMINATED,SARS-CoV-2 Infection,BIOLOGICAL: Equine COVID-19 Antiserum|DRUG: Standard of care,Bharat Serums and Vaccines Limited,,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,7,INDUSTRY,INTERVENTIONAL,7/27/2021,5/25/2022
