NCT Number,Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Start Date,Completion Date
NCT05928429,RECRUITING,CIPN - Chemotherapy-Induced Peripheral Neuropathy|Breast Cancer,"DEVICE: Elasto-Gelâ„¢ mitts for hands: TM7008, and slippers for feet: SL3000; Southwest Technologies, Inc., North Kansas City, MO, USA",Maria Lendorf,"Danish Cancer Society|Aarhus University Hospital|NordsjÃ¦llands Hospital, Denmark|Hospital of Southern Jutland",ALL,"ADULT, OLDER_ADULT",NA,300,OTHER,INTERVENTIONAL,1/15/2021,11/30/2026
NCT05275777,RECRUITING,HER2-negative Breast Cancer|Advanced Solid Tumor,DRUG: ADG106|DRUG: Doxorubicin|DRUG: Cyclophosphamide|DRUG: Paclitaxel,"National University Hospital, Singapore",Adagene Inc,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,66,OTHER,INTERVENTIONAL,5/19/2022,2030-02
NCT04881929,RECRUITING,Breast Cancer,DRUG: KN026,"Jiangsu Alphamab Biopharmaceuticals Co., Ltd",,ALL,"ADULT, OLDER_ADULT",PHASE2,30,INDUSTRY,INTERVENTIONAL,8/9/2021,2/15/2023
NCT04341129,COMPLETED,Breast Neoplasms|Breast Diseases|Breast Fibroadenoma|Breast Cancer,DRUG: Abbreviated MRI protocol: initial experience with DotaremÂ® (Gadoterate Meglumine),University of Chicago,Guerbet,FEMALE,"ADULT, OLDER_ADULT",EARLY_PHASE1,50,OTHER,INTERVENTIONAL,7/13/2020,6/30/2023
NCT05564377,RECRUITING,Advanced Malignant Solid Neoplasm|Anatomic Stage III Breast Cancer AJCC v8|Anatomic Stage IV Breast Cancer AJCC v8|Locally Advanced Malignant Solid Neoplasm|Malignant Female Reproductive System Neoplasm|Metastatic HER2-Negative Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Recurrent Endometrial Carcinoma|Recurrent Fallopian Tube Carcinoma|Recurrent Malignant Female Reproductive System Neoplasm|Recurrent Malignant Solid Neoplasm|Recurrent Ovarian Carcinoma|Recurrent Primary Peritoneal Carcinoma|Unresectable HER2-Negative Breast Carcinoma|Unresectable Malignant Solid Neoplasm,DRUG: Alpelisib|DRUG: Binimetinib|PROCEDURE: Biopsy|PROCEDURE: Biospecimen Collection|PROCEDURE: Bone Marrow Aspiration|PROCEDURE: Bone Scan|PROCEDURE: Computed Tomography|PROCEDURE: Echocardiography|DRUG: Fluorouracil|DRUG: Fulvestrant|DRUG: Ipatasertib|DRUG: Leucovorin|PROCEDURE: Magnetic Resonance Imaging|PROCEDURE: Multigated Acquisition Scan|PROCEDURE: Mutation Carrier Screening|DRUG: Neratinib Maleate|DRUG: Nilotinib Hydrochloride Monohydrate|DRUG: Olaparib|DRUG: Oxaliplatin|DRUG: Paclitaxel|DRUG: Palbociclib|BIOLOGICAL: Panitumumab|PROCEDURE: Positron Emission Tomography|DRUG: Selumetinib Sulfate|DRUG: Sotorasib,National Cancer Institute (NCI),,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,2900,NIH,INTERVENTIONAL,4/7/2023,7/1/2030
NCT05894239,RECRUITING,Metastatic Breast Cancer,DRUG: Inavolisib|DRUG: Phesgo|DRUG: Placebo|DRUG: Taxane-based Chemotherapy|DRUG: Optional Endocrine Therapy of Investigator's Choice,Hoffmann-La Roche,,ALL,"ADULT, OLDER_ADULT",PHASE3,230,INDUSTRY,INTERVENTIONAL,7/28/2023,10/31/2028
NCT05986071,NOT_YET_RECRUITING,Breast Cancer,DRUG: M1774|DRUG: Fulvestrant injection,Institut Paoli-Calmettes,"Merck Sharp & Dohme LLC|National Cancer Institute, France",FEMALE,"ADULT, OLDER_ADULT",PHASE1|PHASE2,57,OTHER,INTERVENTIONAL,4/1/2024,9/15/2027
NCT04496739,RECRUITING,Atypical Hyperplasia of the Breast|Lobular Breast Carcinoma In Situ|Pleomorphic Lobular Breast Carcinoma In Situ,BEHAVIORAL: Cancer Educational Materials|OTHER: Decision Aid|OTHER: Decision Aid|OTHER: Interview|OTHER: Questionnaire Administration,SWOG Cancer Research Network,National Cancer Institute (NCI),ALL,"CHILD, ADULT, OLDER_ADULT",NA,415,NETWORK,INTERVENTIONAL,9/1/2022,6/1/2028
NCT05720039,RECRUITING,"Breast Cancer Female|Breast Cancer|Breast Cancer, Early-Onset|Breast Disease|Breast",DEVICE: Robotic NSM|PROCEDURE: Open NSM,Intuitive Surgical,,FEMALE,"ADULT, OLDER_ADULT",NA,204,INDUSTRY,INTERVENTIONAL,5/8/2023,2026-12
NCT04657679,TERMINATED,Breast Cancer,DRUG: Ribociclib,Georgetown University,Medstar Health Research Institute|Breast Cancer Research Foundation|Georgetown-Howard Universities Center for Clinical and Translational Science (GHUCCTS),FEMALE,"ADULT, OLDER_ADULT",PHASE4,21,OTHER,INTERVENTIONAL,5/20/2021,10/30/2023
NCT05633979,RECRUITING,Breast Cancer,DRUG: Trastuzumab deruxtecan|DRUG: Valemetostat,M.D. Anderson Cancer Center,Daiichi Sankyo,ALL,"ADULT, OLDER_ADULT",PHASE1,37,OTHER,INTERVENTIONAL,2/9/2023,12/31/2032
NCT05365191,RECRUITING,Breast Cancer|Sentinel Lymph Node,PROCEDURE: Near infrared fluorescence navigated sentinel lymph node mapping,National Taiwan University Hospital Hsin-Chu Branch,National Yang Ming Chiao Tung University,ALL,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,4/8/2022,4/7/2023
NCT05891171,RECRUITING,Advanced Cancer|Advanced Malignancies|Bladder Cancer|Cervical Cancer|Esophageal Cancer|Gastric Cancer|Gastroesophageal-junction Cancer (GEJ)|Head and Neck Squamous Cell Carcinoma (HNSCC)|Non-Small Cell Lung Cancer (NSCLC)|Ovarian Cancer|Renal Cell Carcinoma (RCC)|Triple Negative Breast Cancer (TNBC),DRUG: AB598|DRUG: Zimberelimab|DRUG: Carboplatin|DRUG: Pemetrexed|DRUG: Fluorouracil|DRUG: Leucovorin|DRUG: Oxaliplatin,"Arcus Biosciences, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE1,81,INDUSTRY,INTERVENTIONAL,10/13/2023,2025-08
NCT04175639,RECRUITING,Breast Cancer,BEHAVIORAL: Mobile Health Pain Coping Skills Training (mPCST),Duke University,,FEMALE,"ADULT, OLDER_ADULT",NA,180,OTHER,INTERVENTIONAL,10/20/2021,1/31/2025
NCT05011279,COMPLETED,Breast Cancer Survivor|Breast Cancer|Fitness Trackers,OTHER: Move Together app/Garmin Activity Tracker,Dana-Farber Cancer Institute,"University of Massachusetts, Boston|University of Rochester|National Cancer Institute (NCI)",ALL,"ADULT, OLDER_ADULT",NA,10,OTHER,INTERVENTIONAL,9/10/2021,1/21/2022
NCT04683679,RECRUITING,Triple Negative Breast Cancer|TNBC - Triple-Negative Breast Cancer|Breast Cancer|Metastatic Breast Cancer,DRUG: Pembrolizumab|DRUG: Olaparib|RADIATION: Radiation,Memorial Sloan Kettering Cancer Center,,FEMALE,"ADULT, OLDER_ADULT",PHASE2,34,OTHER,INTERVENTIONAL,4/21/2021,2025-01
NCT04583891,ACTIVE_NOT_RECRUITING,"Depression, Anxiety|Engagement, Patient",BEHAVIORAL: IntelliCare|BEHAVIORAL: Psychoeducation|BEHAVIORAL: Coaching,University of Virginia,Northwestern University,FEMALE,"ADULT, OLDER_ADULT",NA,314,OTHER,INTERVENTIONAL,9/27/2021,11/30/2024
NCT05731791,RECRUITING,Breast Cancer,RADIATION: Radiation Therapy to partial breast,Weill Medical College of Cornell University,,FEMALE,"ADULT, OLDER_ADULT",NA,380,OTHER,INTERVENTIONAL,4/3/2023,2028-12
NCT05297591,RECRUITING,Breast Cancer,OTHER: assessment of UL function and prognostic factors,KU Leuven,Universitaire Ziekenhuizen KU Leuven|Vrije Universiteit Brussel,ALL,"ADULT, OLDER_ADULT",NA,250,OTHER,INTERVENTIONAL,4/26/2022,2025-02
NCT05042791,RECRUITING,HER2-positive Metastatic Breast Cancer,COMBINATION_PRODUCT: radiation combined with pyrotinib and capecitabine,Jiangxi Provincial Cancer Hospital,,FEMALE,"ADULT, OLDER_ADULT",PHASE2,362,OTHER,INTERVENTIONAL,3/1/2022,9/30/2025
NCT04534309,COMPLETED,Breast Cancer|Prostate Cancer|Melanoma (Skin)|Endometrial Cancer|Gallbladder Cancer|Rectal Cancer|Kidney Cancer|Bladder Cancer,BEHAVIORAL: Written Weight Loss Material|BEHAVIORAL: Weight Loss App|BEHAVIORAL: Behavioral Lifestyle Weight Loss Intervention (Coaching),Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Maryland Cigarette Restitution Fund,ALL,"ADULT, OLDER_ADULT",NA,340,OTHER,INTERVENTIONAL,9/22/2020,6/30/2023
NCT04965909,RECRUITING,"Breast Neoplasms|Pain, Chronic|Quality of Life",OTHER: Online physiotherapy protocol based on pain neuroscience education and gradual exposure to movement.,University of Seville,,FEMALE,"ADULT, OLDER_ADULT",NA,40,OTHER,INTERVENTIONAL,4/1/2021,12/1/2024
NCT06195709,NOT_YET_RECRUITING,Breast Carcinoma,COMBINATION_PRODUCT: Endocrine therapy|COMBINATION_PRODUCT: Endocrine therapy combined with the local treatment of FES-negative lesions|COMBINATION_PRODUCT: Chemotherapy,Institut Curie,Zionexa,FEMALE,"ADULT, OLDER_ADULT",PHASE3,300,OTHER,INTERVENTIONAL,2/15/2024,8/15/2029
NCT05508906,RECRUITING,Metastatic Breast Cancer|Advanced Breast Cancer|HR-positive Breast Cancer|HER2-negative Breast Cancer,DRUG: OP-1250|DRUG: Ribociclib|DRUG: Alpelisib,"Olema Pharmaceuticals, Inc.",Novartis,ALL,"ADULT, OLDER_ADULT",PHASE1,90,INDUSTRY,INTERVENTIONAL,8/31/2022,8/31/2024
NCT05130606,ENROLLING_BY_INVITATION,Hereditary Breast and Ovarian Cancer,"BEHAVIORAL: Culturally Targeted Narrative Video: ""Is My Cancer Hereditary? Rosa Visits a Genetic Counselor.""|BEHAVIORAL: FORCE Fact Sheet",Georgetown University,National Cancer Institute (NCI)|Virginia Commonwealth University,FEMALE,"ADULT, OLDER_ADULT",NA,332,OTHER,INTERVENTIONAL,6/1/2021,12/31/2025
NCT05277909,COMPLETED,Shoulder Pain|Late Effect|Breast Cancer|Rehabilitation,OTHER: The expert assessment of shoulder impairments and individualised treatment plan|OTHER: A minimal physiotherapeutic rehabilitation program delivered in a pamphlet,Vejle Hospital,Open Patient data Explorative Network,FEMALE,"ADULT, OLDER_ADULT",NA,31,OTHER,INTERVENTIONAL,4/4/2022,10/10/2022
NCT05368506,WITHDRAWN,Advanced Fallopian Tube Carcinoma|Advanced Ovarian Carcinoma|Advanced Primary Peritoneal Carcinoma|Anatomic Stage IV Breast Cancer AJCC v8|Metastatic Triple-Negative Breast Carcinoma|Stage III Fallopian Tube Cancer AJCC v8|Stage III Ovarian Cancer AJCC v8|Stage III Primary Peritoneal Cancer AJCC v8|Stage IV Fallopian Tube Cancer AJCC v8|Stage IV Ovarian Cancer AJCC v8|Stage IV Primary Peritoneal Cancer AJCC v8,DRUG: Wee1 Inhibitor ZN-c3,OHSU Knight Cancer Institute,Oregon Health and Science University,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,0,OTHER,INTERVENTIONAL,7/30/2023,7/31/2025
NCT06172127,NOT_YET_RECRUITING,HER2-positive Breast Cancer,"DRUG: Trastuzumab deruxtecan|DRUG: Phesgo 1,200 MG / 600 MG / 30,000 UNT Per 15 ML Injection|DRUG: Phesgo 600 MG / 600 MG / 20,000 UNT in 10 mL Injection",MedSIR,Hoffmann-La Roche,ALL,"ADULT, OLDER_ADULT",PHASE2,165,OTHER,INTERVENTIONAL,2024-05,2029-05
NCT04356209,RECRUITING,Breast Cancer,OTHER: e-PRO Intervention|DRUG: Pravastatin,Institut du Cancer de Montpellier - Val d'Aurelle,,ALL,"ADULT, OLDER_ADULT",PHASE2,105,OTHER,INTERVENTIONAL,9/28/2020,6/30/2025
NCT04240106,COMPLETED,Breast Cancer|Breast Cancer Metastatic,DRUG: Niraparib|DRUG: Aromatase Inhibitors,MedSIR,GlaxoSmithKline,ALL,"ADULT, OLDER_ADULT",PHASE2,14,OTHER,INTERVENTIONAL,6/15/2020,11/17/2023
NCT04578106,RECRUITING,HER2-positive Breast Cancer|Stage I Breast Cancer,BIOLOGICAL: Trastuzumab and pertuzumab Subcutaneous Fixed-Dose Combination,Fundacio Clinic Barcelona,SOLTI Breast Cancer Research Group|Roche Pharma AG,FEMALE,"ADULT, OLDER_ADULT",PHASE2,17,OTHER,INTERVENTIONAL,9/23/2020,2026-12
NCT04574609,ACTIVE_NOT_RECRUITING,Breast Cancer,DEVICE: OncomfortÂ® clinical virtual reality,Fondation HÃ´pital Saint-Joseph,,FEMALE,"ADULT, OLDER_ADULT",NA,27,OTHER,INTERVENTIONAL,9/24/2020,1/30/2024
NCT04477109,COMPLETED,Insulin Resistance|Inflammatory Markers,DEVICE: low level laser in addition to diet recommendations|OTHER: sham laser application in addition to diet recommendations,Cairo University,,FEMALE,"ADULT, OLDER_ADULT",NA,60,OTHER,INTERVENTIONAL,7/1/2020,4/1/2023
NCT04449809,WITHDRAWN,Breast Cancer,BEHAVIORAL: Exercise program,Duke University,,FEMALE,"ADULT, OLDER_ADULT",NA,0,OTHER,INTERVENTIONAL,2021-09,2022-09
NCT05323409,RECRUITING,Breast Cancer|Gastrointestinal Cancer|Hematologic Cancer,BEHAVIORAL: OPTIMISE,Baylor College of Medicine,,ALL,"ADULT, OLDER_ADULT",NA,340,OTHER,INTERVENTIONAL,4/1/2022,2025-06
NCT04895709,RECRUITING,"Cervical Cancer|Gastric/Gastroesophageal Junction Adenocarcinoma|Microsatellite Stable Colorectal Cancer|Non-Small-Cell Lung Cancer|Squamous Cell Carcinoma of Head and Neck|Carcinoma, Renal Cell|Urothelial Carcinoma|Pancreatic Adenocarcinoma|Melanoma|Ovarian Neoplasms|Triple Negative Breast Neoplasms",DRUG: BMS-986340|DRUG: BMS-936558-01|DRUG: Docetaxel,Bristol-Myers Squibb,,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,665,INDUSTRY,INTERVENTIONAL,5/27/2021,9/15/2026
NCT05900206,RECRUITING,Breast Cancer,DRUG: Trastuzumab deruxtecan|DRUG: Docetaxel|DRUG: Paclitaxel|DRUG: Carboplatin|DRUG: Trastuzumab|DRUG: Pertuzumab|DRUG: Ribociclib|DRUG: Letrozole|DRUG: Epirubicin|DRUG: Cyclophosphamide,Karolinska University Hospital,,ALL,"ADULT, OLDER_ADULT",PHASE2,370,OTHER,INTERVENTIONAL,10/9/2023,12/31/2031
NCT04444427,COMPLETED,Non-small Cell Lung Cancer|Glioblastoma Multiforme,DRUG: GLR2007,"Gan and Lee Pharmaceuticals, USA",,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,19,INDUSTRY,INTERVENTIONAL,7/15/2020,7/29/2022
NCT05757427,RECRUITING,Breast Cancer,DEVICE: Wavelia #2,MVG Industries SAS,,FEMALE,"ADULT, OLDER_ADULT",NA,103,INDUSTRY,INTERVENTIONAL,3/9/2023,11/30/2024
NCT03980509,ACTIVE_NOT_RECRUITING,Breast Cancer,DRUG: Curcumin,Medical University of South Carolina,,ALL,"ADULT, OLDER_ADULT",PHASE1,22,OTHER,INTERVENTIONAL,1/29/2020,3/31/2024
NCT04720209,RECRUITING,Breast Cancer|Breast Cancer Stage I|Breast Cancer Stage II|Breast Cancer Stage III,OTHER: CARE|OTHER: TARE|OTHER: Home-Based Stretching,Dana-Farber Cancer Institute,National Cancer Institute (NCI),FEMALE,"ADULT, OLDER_ADULT",NA,300,OTHER,INTERVENTIONAL,8/13/2021,6/15/2026
NCT05555706,RECRUITING,Triple Negative Breast Cancer (TNBC),DRUG: B013+Nab-Paclitaxel,"Shanghai Jiaolian Drug Research and Development Co., Ltd","Shanghai Pharmaceuticals Holding Co., Ltd",ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,450,INDUSTRY,INTERVENTIONAL,12/6/2022,12/31/2026
NCT05215106,RECRUITING,Early Small (cT1N0) Triple Negative Breast Cancer,DRUG: Durvalumab,"Gustave Roussy, Cancer Campus, Grand Paris",AstraZeneca,FEMALE,"ADULT, OLDER_ADULT",PHASE2,200,OTHER,INTERVENTIONAL,12/6/2021,2026-06
NCT05007106,RECRUITING,Uterine Cervical Neoplasms|Endometrial Neoplasms|Squamous Cell Carcinoma of Head and Neck|Gallbladder Neoplasms|Cholangiocarcinoma|Esophageal Neoplasms|Triple Negative Breast Neoplasms|Hepatocellular Carcinoma|Urinary Bladder Neoplasms|Ovarian Neoplasms|Stomach Neoplasms,BIOLOGICAL: Pembrolizumab/Vibostolimab Co-Formulation|BIOLOGICAL: Pembrolizumab|DRUG: Lenvatinib|DRUG: 5-Fluorouracil|DRUG: Cisplatin|DRUG: Paclitaxel|DRUG: Gemcitabine|DRUG: Carboplatin|DRUG: Docetaxel|DRUG: Bevacizumab|DRUG: Capecitabine|DRUG: Oxaliplatin,Merck Sharp & Dohme LLC,,ALL,"ADULT, OLDER_ADULT",PHASE2,610,INDUSTRY,INTERVENTIONAL,9/16/2021,2/22/2027
NCT05457309,RECRUITING,Malignant Fungating Wound,PROCEDURE: malignant fungating wounds care regimen,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,,ALL,"ADULT, OLDER_ADULT",NA,50,OTHER,INTERVENTIONAL,6/24/2022,7/30/2024
NCT05596409,RECRUITING,Metastatic Breast Cancer,DRUG: Elacestrant,"Stemline Therapeutics, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE2,80,OTHER,INTERVENTIONAL,5/19/2023,2025-08
NCT05428709,TERMINATED,Breast Cancer,BEHAVIORAL: Acute Exercise,Milton S. Hershey Medical Center,,FEMALE,"ADULT, OLDER_ADULT",NA,3,OTHER,INTERVENTIONAL,2/1/2023,6/29/2023
NCT04402606,RECRUITING,"Solid Tumor, Adult|Breast Cancer|Lung Cancer",OTHER: Evaluation on skin toxicities,Institut Curie,,ALL,"ADULT, OLDER_ADULT",NA,300,OTHER,INTERVENTIONAL,11/25/2020,7/25/2024
NCT04711109,RECRUITING,BRCA1 Mutation|Breast Cancer|Breast Diseases|Breast Neoplasms|Breast Carcinoma|Neoplasms,DRUG: Denosumab|DRUG: Placebo|OTHER: Quality-of-Life Assessment,Alliance for Clinical Trials in Oncology,National Cancer Institute (NCI)|Austrian Breast & Colorectal Cancer Study Group (ABCSG),FEMALE,ADULT,PHASE3,300,OTHER,INTERVENTIONAL,2/23/2022,2033-12
NCT06154109,NOT_YET_RECRUITING,Triple Negative Breast Neoplasms,DRUG: Xiaopi granules|DRUG: Xiaopi decoction|DRUG: Placebo,Zhiyu Wang,,FEMALE,"ADULT, OLDER_ADULT",PHASE2,90,OTHER,INTERVENTIONAL,11/25/2023,3/30/2026
NCT04197206,COMPLETED,Postoperative Pain,OTHER: costotransverse block,Cigli Regional Training Hospital,,FEMALE,"ADULT, OLDER_ADULT",NA,70,OTHER,INTERVENTIONAL,1/6/2020,4/29/2020
NCT06081127,RECRUITING,Breast Cancer,OTHER: MOve-ABC|OTHER: Enhanced Usual Care,Northwestern University,Northwestern Medicine,FEMALE,"ADULT, OLDER_ADULT",PHASE1,75,OTHER,INTERVENTIONAL,2023-11,2024-06
NCT04554927,RECRUITING,Web-application|Breast Cancer|Hormono Therapy,OTHER: WEB-Application|OTHER: Standard accompaniment,Centre Francois Baclesse,,FEMALE,"ADULT, OLDER_ADULT",NA,438,OTHER,INTERVENTIONAL,9/3/2020,3/3/2025
NCT05207709,RECRUITING,Metastatic Breast Cancer,DRUG: Ribociclib + Letrozole OR Fulvestrant|DRUG: Palbociclib + Letrozole OR Fulvestrant|DRUG: Paclitaxel +/- Tislelizumab,SOLTI Breast Cancer Research Group,"Novartis|Alliance Foundation Trials, LLC.",ALL,"ADULT, OLDER_ADULT",PHASE3,456,OTHER,INTERVENTIONAL,3/28/2022,3/1/2027
NCT04230109,RECRUITING,Invasive Breast Cancer|Triple Negative Breast Cancer|ER-Negative Breast Cancer|PR-Negative Breast Cancer|HER2-negative Breast Cancer,DRUG: Sacituzumab Govitecan|DRUG: Pembrolizumab,Aditya Bardia,Gilead Sciences,ALL,"ADULT, OLDER_ADULT",PHASE2,260,OTHER,INTERVENTIONAL,7/14/2020,2026-10
NCT04882306,RECRUITING,Breast Cancer,DEVICE: Bilateral MARIA scan,"Micrima, Ltd.",,FEMALE,"ADULT, OLDER_ADULT",NA,800,INDUSTRY,INTERVENTIONAL,2/16/2022,10/31/2022
NCT04482309,ACTIVE_NOT_RECRUITING,"Part 1: Bladder, Biliary Tract, Cervical, Endometrial, Ovarian, Pancreatic Cancer, Rare Tumors, Any Tumor Type Excluding Breast, Gastric, Colorectal Cancer|Part 2: HER2 Expressing/Amplified Solid Tumors Excluding Breast, Gastric, Colorectal Cancer",DRUG: Trastuzumab deruxtecan,AstraZeneca,"Daiichi Sankyo Co., Ltd.",ALL,"ADULT, OLDER_ADULT",PHASE2,468,INDUSTRY,INTERVENTIONAL,8/18/2020,7/30/2027
NCT04217109,COMPLETED,Breast Cancer,DIAGNOSTIC_TEST: Odour sampling,Institut Curie,,FEMALE,"ADULT, OLDER_ADULT",NA,196,OTHER,INTERVENTIONAL,2/3/2020,4/25/2023
NCT05595109,ENROLLING_BY_INVITATION,Breast Cancer|Peripheral Neuropathy|Cardiac Toxicities|Hepatic Toxicity|Cognitive Impairment,DRUG: Silymarin|DRUG: Placebo,Tanta University,,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,56,OTHER,INTERVENTIONAL,10/28/2022,10/28/2024
NCT04495309,RECRUITING,Metastatic Breast Cancer,RADIATION: Metastases-directed Radiotherapy,University Hospital Schleswig-Holstein,,FEMALE,"ADULT, OLDER_ADULT",NA,564,OTHER,INTERVENTIONAL,3/5/2021,6/30/2025
NCT06195306,NOT_YET_RECRUITING,Breast Atypical Hyperplasia|Breast Carcinoma|Breast Ductal Carcinoma In Situ|Breast Lobular Carcinoma In Situ,PROCEDURE: Biospecimen Collection|PROCEDURE: Mammography|DRUG: Omega-3-Acid Ethyl Esters|OTHER: Questionnaire Administration|PROCEDURE: Random Periareolar Fine-Needle Aspiration|DRUG: Tamoxifen,National Cancer Institute (NCI),,FEMALE,"ADULT, OLDER_ADULT",PHASE2,66,NIH,INTERVENTIONAL,6/16/2024,1/1/2027
NCT05156606,RECRUITING,Male Breast Cancer,DRUG: AndroGel,University Medical Center Groningen,,MALE,"ADULT, OLDER_ADULT",NA,6,OTHER,INTERVENTIONAL,11/10/2022,1/3/2024
NCT05878106,NOT_YET_RECRUITING,Breast Cancer|Supplementation|Resistance Training|Physical Performance|Quality of Life,DIETARY_SUPPLEMENT: Creatine supplementation|OTHER: Resistance training,University of Deusto,Hospital de Cruces|Hospital de Basurto|Poznan University of Medical Sciences|Hospital Universitario de Burgos|Dynamical Business & Science Society - DBSS|University of Calabria,ALL,ADULT,NA,120,OTHER,INTERVENTIONAL,1/8/2024,12/8/2025
NCT05138627,COMPLETED,Breast Cancer,OTHER: oral cryotherapy,Berna KURT,,FEMALE,"ADULT, OLDER_ADULT",NA,54,OTHER,INTERVENTIONAL,7/21/2020,5/17/2021
NCT05682209,COMPLETED,Seroma Following Procedure,DRUG: Octreotide Injection|OTHER: Sterile water,Ikechukwu Bartholomew Ulasi,,FEMALE,"CHILD, ADULT, OLDER_ADULT",PHASE4,41,OTHER,INTERVENTIONAL,12/18/2020,12/2/2021
NCT04705909,UNKNOWN,Breast Cancer,DRUG: Pitavastatin|DRUG: placebo,Mansoura University,,FEMALE,"ADULT, OLDER_ADULT",PHASE2|PHASE3,60,OTHER,INTERVENTIONAL,1/15/2021,12/15/2021
